m2700s22115,Bar.Pressure (mm-Hg),Solar Rad (wat/m2),RH (%),Temperature (*C),Rainfall (mm),Wind Dir (Deg),Wind Gust (km/h),Wind Speed (km/h),Dew Point (*C)
,mm-Hg,wat/m2,%,*C,mm,Deg,km/h,km/h,*C
,BAR,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
01-07-2022 17:00,728,40,87.6,25.9,0,127,8,1,23.7
01-07-2022 17:05,727.9,38,86.8,26.1,0,76,6,1,23.7
01-07-2022 17:10,727.8,37,84.8,26.2,0,172,6,3,23.4
01-07-2022 17:15,727.8,37,84.7,26.3,0,149,6,3,23.5
01-07-2022 17:20,727.8,37,85.6,26.3,0,111,8,1,23.7
01-07-2022 17:25,727.8,39,85.7,26.4,0,248,9,3,23.8
01-07-2022 17:30,727.7,41,84.9,26.6,0,338,12,4,23.8
01-07-2022 17:35,727.7,46,86.6,26.6,0,333,14,9,24.2
01-07-2022 17:40,727.7,51,87.2,26.8,0,326,16,9,24.5
01-07-2022 17:45,727.5,55,87.9,26.3,0,269,11,4,24.1
01-07-2022 17:50,727.5,59,88.8,26.2,0,295,9,6,24.2
01-07-2022 17:55,727.4,62,90.2,26.1,0,207,11,4,24.4
01-07-2022 18:00,727.7,64,90.4,26.1,0,199,9,4,24.4
01-07-2022 18:05,727.8,65,90.6,26.2,0,180,6,3,24.5
01-07-2022 18:10,727.8,65,90,26.3,0,187,6,3,24.5
01-07-2022 18:15,727.8,63,89.6,26.3,0,218,11,3,24.5
01-07-2022 18:20,727.8,60,89.6,26.3,0,237,8,3,24.5
01-07-2022 18:25,727.8,56,89.9,26.4,0,180,4,1,24.6
01-07-2022 18:30,727.8,52,89.9,26.4,0,314,8,3,24.6
01-07-2022 18:35,727.7,47,89.2,26.4,0,321,8,4,24.5
01-07-2022 18:40,727.8,41,88.5,26.6,0,328,8,4,24.5
01-07-2022 18:45,727.8,36,88.6,26.6,0,278,8,3,24.6
01-07-2022 18:50,727.7,32,88.5,26.7,0,328,6,3,24.6
01-07-2022 18:55,727.7,27,88.6,26.8,0,275,3,0,24.8
01-07-2022 19:00,727.8,24,88.8,26.7,0,289,8,1,24.7
01-07-2022 19:05,727.9,20,89.1,26.7,0,237,6,1,24.8
01-07-2022 19:10,727.9,15,89.6,26.7,0,285,4,1,24.8
01-07-2022 19:15,728,12,89.2,26.7,0,268,6,3,24.8
01-07-2022 19:20,728.1,9,89.2,26.7,0,238,6,1,24.8
01-07-2022 19:25,728.1,6,89.4,26.8,0,279,3,0,24.9
01-07-2022 19:30,728.1,3,88.7,26.9,0,302,4,0,24.9
01-07-2022 19:35,728.2,2,87.8,27.1,0,306,3,0,24.9
01-07-2022 19:40,728.2,0,87.9,27.1,0,262,4,1,24.9
01-07-2022 19:45,728.2,0,88.1,27.1,0,314,1,0,25
01-07-2022 19:50,728.2,0,87.5,27.2,0,278,8,1,24.9
01-07-2022 19:55,728.3,0,88,27.1,0,252,6,3,24.9
01-07-2022 20:00,728.2,0,88.4,27.2,0,256,6,3,25.1
01-07-2022 20:05,728.3,0,88.5,27.2,0,254,8,3,25.1
01-07-2022 20:10,728.3,0,88.8,27.2,0,259,6,3,25.2
01-07-2022 20:15,728.3,0,88.6,27.3,0,258,8,3,25.2
01-07-2022 20:20,728.3,0,88.7,27.3,0,261,6,3,25.3
01-07-2022 20:25,728.3,0,89.1,27.4,0,268,8,3,25.4
01-07-2022 20:30,728.3,0,89.2,27.5,0,276,6,3,25.6
01-07-2022 20:35,728.2,0,89,27.5,0,273,8,4,25.5
01-07-2022 20:40,728.2,0,89.2,27.6,0,293,6,1,25.7
01-07-2022 20:45,728.2,0,89.4,27.6,0,197,6,1,25.7
01-07-2022 20:50,728.2,0,89.4,27.6,0,245,6,1,25.7
01-07-2022 20:55,728.1,0,89.6,27.7,0,204,9,3,25.8
01-07-2022 21:00,728.1,0,90,27.6,0,204,11,4,25.8
01-07-2022 21:05,728.2,0,90.4,27.6,0,261,9,4,25.9
01-07-2022 21:10,728.2,0,90.8,27.6,0,200,9,3,26
01-07-2022 21:15,728.3,0,90.9,27.6,0,275,11,4,26
01-07-2022 21:20,728.4,0,91.2,27.6,0,306,6,1,26
01-07-2022 21:25,728.5,0,91,27.7,0,176,9,3,26.1
01-07-2022 21:30,728.5,0,90.8,27.6,0,199,6,3,26
01-07-2022 21:35,728.6,0,90.8,27.6,0,210,4,1,26
01-07-2022 21:40,728.6,0,90.7,27.7,0,213,8,4,26
01-07-2022 21:45,728.5,0,90.8,27.6,0,162,6,3,26
01-07-2022 21:50,728.6,0,90.4,27.6,0,214,8,3,25.9
01-07-2022 21:55,728.6,0,90.6,27.6,0,214,4,1,25.9
01-07-2022 22:00,728.6,0,90.7,27.6,0,289,6,3,25.9
01-07-2022 22:05,728.5,0,90.8,27.6,0,207,8,3,26
01-07-2022 22:10,728.4,0,90.8,27.6,0,155,8,3,26
01-07-2022 22:15,728.4,0,90.1,27.6,0,234,11,4,25.8
01-07-2022 22:20,728.4,0,89.5,27.6,0,240,11,3,25.7
01-07-2022 22:25,728.5,0,89.7,27.6,0,227,9,4,25.8
01-07-2022 22:30,728.5,0,89.8,27.5,0,220,9,4,25.7
01-07-2022 22:35,728.5,0,89.6,27.5,0,183,8,4,25.6
01-07-2022 22:40,728.6,0,89.6,27.5,0,176,6,3,25.6
01-07-2022 22:45,728.6,0,89.5,27.5,0,265,6,3,25.6
01-07-2022 22:50,728.6,0,89.4,27.5,0,182,8,3,25.6
01-07-2022 22:55,728.6,0,89.6,27.5,0,224,4,1,25.6
01-07-2022 23:00,728.6,0,89.6,27.5,0,264,6,1,25.6
01-07-2022 23:05,728.6,0,89.5,27.4,0,259,8,3,25.5
01-07-2022 23:10,728.6,0,89.7,27.6,0,151,3,0,25.8
01-07-2022 23:15,728.6,0,89.7,27.5,0,316,8,3,25.7
01-07-2022 23:20,728.5,0,89.5,27.5,0,251,6,1,25.6
01-07-2022 23:25,728.6,0,89.2,27.5,0,316,9,4,25.6
01-07-2022 23:30,728.5,0,89.4,27.4,0,307,8,3,25.5
01-07-2022 23:35,728.4,0,89,27.5,0,228,9,3,25.5
01-07-2022 23:40,728.3,0,89.1,27.5,0,218,6,3,25.5
01-07-2022 23:45,728.4,0,89.2,27.6,0,237,4,0,25.7
01-07-2022 23:50,728.5,0,89.7,27.6,0,254,4,3,25.8
01-07-2022 23:55,728.6,0,90.1,27.4,0,272,6,1,25.6
02-07-2022 00:00,728.6,0,89.8,27.5,0,283,6,1,25.7
02-07-2022 00:05,728.6,0,89.9,27.5,0,288,4,1,25.7
02-07-2022 00:10,728.6,0,89.7,27.5,0,316,6,0,25.7
02-07-2022 00:15,728.6,0,89.5,27.5,0,255,6,1,25.6
02-07-2022 00:20,728.7,0,89.4,27.5,0,269,6,1,25.6
02-07-2022 00:25,728.7,0,89.4,27.5,0,283,6,1,25.6
02-07-2022 00:30,728.7,0,89.4,27.5,0,275,4,1,25.6
02-07-2022 00:35,728.6,0,89.3,27.5,0,269,4,1,25.6
02-07-2022 00:40,728.6,0,89.4,27.5,0,272,3,1,25.6
02-07-2022 00:45,728.6,0,89.4,27.5,0,296,1,0,25.6
02-07-2022 00:50,728.6,0,89.2,27.5,0,175,4,1,25.6
02-07-2022 00:55,728.6,0,89.2,27.6,0,283,3,0,25.7
02-07-2022 01:00,728.6,0,89.4,27.6,0,290,4,1,25.7
02-07-2022 01:05,728.6,0,89.5,27.5,0,269,6,3,25.6
02-07-2022 01:10,728.7,0,89.5,27.6,0,266,4,0,25.7
02-07-2022 01:15,728.7,0,89.3,27.5,0,307,1,0,25.6
02-07-2022 01:20,728.7,0,89.2,27.5,0,348,3,0,25.6
02-07-2022 01:25,728.7,0,89.3,27.6,0,336,3,0,25.7
02-07-2022 01:30,728.8,0,89,27.6,0,282,1,0,25.6
02-07-2022 01:35,728.8,0,89,27.6,0,282,0,0,25.6
02-07-2022 01:40,728.8,0,88.6,27.6,0,321,1,0,25.5
02-07-2022 01:45,728.7,0,88.7,27.6,0,336,1,0,25.6
02-07-2022 01:50,728.6,0,88.8,27.6,0,336,3,0,25.6
02-07-2022 01:55,728.6,0,88.6,27.6,0,142,3,0,25.5
02-07-2022 02:00,728.5,0,88.7,27.6,0,231,3,0,25.6
02-07-2022 02:05,728.4,0,89.3,27.6,0,337,1,0,25.7
02-07-2022 02:10,728.4,0,89.2,27.6,0,285,3,0,25.7
02-07-2022 02:15,728.4,0,88.6,27.6,0,275,4,1,25.5
02-07-2022 02:20,728.3,0,88.6,27.6,0,271,4,3,25.5
02-07-2022 02:25,728.2,0,89.3,27.6,0,275,4,1,25.7
02-07-2022 02:30,728.2,0,89.7,27.6,0,279,3,0,25.8
02-07-2022 02:35,728.2,0,89.6,27.6,0,279,1,0,25.7
02-07-2022 02:40,728.2,0,90,27.6,0,279,1,0,25.8
02-07-2022 02:45,728.2,0,90.1,27.6,0,279,3,0,25.8
02-07-2022 02:50,728.1,0,89.9,27.6,0,280,3,0,25.8
02-07-2022 02:55,728.1,0,89.9,27.6,0,280,3,0,25.8
02-07-2022 03:00,728,0,90.3,27.6,0,280,1,0,25.9
02-07-2022 03:05,727.9,0,90.4,27.5,0,280,1,0,25.8
02-07-2022 03:10,727.9,0,90.4,27.6,0,280,1,0,25.9
02-07-2022 03:15,727.9,0,90.5,27.5,0,341,0,0,25.8
02-07-2022 03:20,727.9,0,90.1,27.6,0,341,1,0,25.8
02-07-2022 03:25,727.7,0,90.1,27.5,0,341,1,0,25.7
02-07-2022 03:30,727.8,0,90.4,27.6,0,341,3,0,25.9
02-07-2022 03:35,727.8,0,90.4,27.6,0,338,4,3,25.9
02-07-2022 03:40,727.8,0,89.5,27.7,0,302,4,3,25.8
02-07-2022 03:45,727.8,0,88.7,27.8,0,355,4,1,25.8
02-07-2022 03:50,727.7,0,88.6,27.8,0,254,3,0,25.7
02-07-2022 03:55,727.7,0,88.7,27.8,0,256,4,1,25.8
02-07-2022 04:00,727.7,0,88.7,27.8,0,232,4,1,25.8
02-07-2022 04:05,727.7,0,88.5,27.8,0,160,3,0,25.7
02-07-2022 04:10,727.7,0,86.3,28,0,194,4,1,25.5
02-07-2022 04:15,727.8,0,86.5,27.9,0,309,8,4,25.4
02-07-2022 04:20,727.7,0,86.8,27.8,0,262,11,6,25.4
02-07-2022 04:25,727.8,0,86.8,27.7,0,353,11,6,25.3
02-07-2022 04:30,727.8,0,87,27.7,0,288,9,6,25.3
02-07-2022 04:35,727.8,0,87.2,27.7,0,152,8,4,25.4
02-07-2022 04:40,727.8,0,87.4,27.7,0,231,8,3,25.4
02-07-2022 04:45,727.8,0,87.5,27.7,0,153,9,1,25.4
02-07-2022 04:50,727.8,0,87.5,27.7,0,192,11,3,25.4
02-07-2022 04:55,727.8,0,87.3,27.7,0,152,8,3,25.4
02-07-2022 05:00,727.9,0,87.3,27.7,0,203,8,3,25.4
02-07-2022 05:05,727.8,0,87.4,27.7,0,196,11,3,25.4
02-07-2022 05:10,727.9,0,87.5,27.7,0,207,11,3,25.4
02-07-2022 05:15,727.8,0,88,27.6,0,139,12,4,25.4
02-07-2022 05:20,727.8,0,88.3,27.6,0,142,11,4,25.5
02-07-2022 05:25,727.8,0,88.5,27.6,0,31,6,1,25.5
02-07-2022 05:30,727.8,0,88.7,27.7,0,57,4,1,25.7
02-07-2022 05:35,727.8,0,87.8,27.7,0,45,8,4,25.5
02-07-2022 05:40,727.8,0,86.6,27.8,0,48,9,3,25.4
02-07-2022 05:45,727.9,0,86,27.8,0,46,11,6,25.2
02-07-2022 05:50,727.8,1,86.2,27.8,0,38,11,4,25.3
02-07-2022 05:55,727.8,2,86.8,27.7,0,43,4,1,25.3
02-07-2022 06:00,727.8,4,86.7,27.7,0,50,14,4,25.3
02-07-2022 06:05,727.7,8,86.5,27.7,0,55,11,4,25.2
02-07-2022 06:10,727.9,12,87.1,27.7,0,112,9,1,25.4
02-07-2022 06:15,727.9,16,87.2,27.6,0,87,8,3,25.3
02-07-2022 06:20,727.9,20,87,27.6,0,77,12,3,25.2
02-07-2022 06:25,727.9,21,86.9,27.7,0,36,9,4,25.3
02-07-2022 06:30,727.9,27,87,27.7,0,46,8,3,25.3
